"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTR";"2.228000"
"2000000";"2500000";"BTR";"0.874000"
"1000000";"1250000";"BTR";"1.019000"
"500000";"625000";"BTR";"0.693000"
"250000";"312500";"BTR";"0.782000"
"125000";"156250";"BTR";"0.694000"
"62500";"78125";"BTR";"0.468000"
"31250";"39062";"BTR";"0.643000"
"15626";"19531";"BTR";"0.773000"
"7814";"9765";"BTR";"0.321000"
"3908";"4882";"BTR";"0.289000"
"1954";"2441";"BTR";"0.293000"
"978";"1220";"BTR";"0.175000"
"490";"610";"BTR";"0.167000"
"246";"305";"BTR";"0.179000"
"124";"152";"BTR";"0.128000"
"62";"76";"BTR";"0.139000"
"32";"38";"BTR";"0.065000"
"16";"19";"BTR";"0.055000"
"8";"9";"BTR";"0.045000"
"4";"4";"BTR";"0.044000"
"2";"2";"BTR";"0.101000"
"0";"1";"BTR";"0.061000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTR";"1.815000"
"2000000";"2500000";"BTR";"1.147000"
"1000000";"1250000";"BTR";"0.854000"
"500000";"625000";"BTR";"0.768000"
"250000";"312500";"BTR";"1.227000"
"125000";"156250";"BTR";"0.659000"
"62500";"78125";"BTR";"0.433000"
"31250";"39062";"BTR";"0.522000"
"15626";"19531";"BTR";"0.433000"
"7814";"9765";"BTR";"0.317000"
"3908";"4882";"BTR";"0.295000"
"1954";"2441";"BTR";"0.277000"
"978";"1220";"BTR";"0.181000"
"490";"610";"BTR";"0.180000"
"246";"305";"BTR";"0.160000"
"124";"152";"BTR";"0.129000"
"62";"76";"BTR";"0.140000"
"32";"38";"BTR";"0.057000"
"16";"19";"BTR";"0.054000"
"8";"9";"BTR";"0.054000"
"4";"4";"BTR";"0.030000"
"2";"2";"BTR";"0.099000"
"0";"1";"BTR";"0.046000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTR";"2.032000"
"2000000";"2500000";"BTR";"0.876000"
"1000000";"1250000";"BTR";"1.187000"
"500000";"625000";"BTR";"0.630000"
"250000";"312500";"BTR";"0.614000"
"125000";"156250";"BTR";"0.597000"
"62500";"78125";"BTR";"0.473000"
"31250";"39062";"BTR";"0.547000"
"15626";"19531";"BTR";"0.511000"
"7814";"9765";"BTR";"0.906000"
"3908";"4882";"BTR";"0.294000"
"1954";"2441";"BTR";"0.301000"
"978";"1220";"BTR";"0.187000"
"490";"610";"BTR";"0.282000"
"246";"305";"BTR";"0.164000"
"124";"152";"BTR";"0.129000"
"62";"76";"BTR";"0.140000"
"32";"38";"BTR";"0.054000"
"16";"19";"BTR";"0.041000"
"8";"9";"BTR";"0.053000"
"4";"4";"BTR";"0.031000"
"2";"2";"BTR";"0.099000"
"0";"1";"BTR";"0.051000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTR";"1.684000"
"2000000";"2500000";"BTR";"1.026000"
"1000000";"1250000";"BTR";"1.070000"
"500000";"625000";"BTR";"0.903000"
"250000";"312500";"BTR";"0.779000"
"125000";"156250";"BTR";"0.633000"
"62500";"78125";"BTR";"0.503000"
"31250";"39062";"BTR";"0.544000"
"15626";"19531";"BTR";"0.502000"
"7814";"9765";"BTR";"0.301000"
"3908";"4882";"BTR";"0.291000"
"1954";"2441";"BTR";"0.312000"
"978";"1220";"BTR";"0.176000"
"490";"610";"BTR";"0.178000"
"246";"305";"BTR";"0.177000"
"124";"152";"BTR";"0.132000"
"62";"76";"BTR";"0.137000"
"32";"38";"BTR";"0.055000"
"16";"19";"BTR";"0.056000"
"8";"9";"BTR";"0.060000"
"4";"4";"BTR";"0.045000"
"2";"2";"BTR";"0.100000"
"0";"1";"BTR";"0.060000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTR";"1.864000"
"2000000";"2500000";"BTR";"0.918000"
"1000000";"1250000";"BTR";"1.371000"
"500000";"625000";"BTR";"0.904000"
"250000";"312500";"BTR";"0.694000"
"125000";"156250";"BTR";"0.641000"
"62500";"78125";"BTR";"0.503000"
"31250";"39062";"BTR";"0.428000"
"15626";"19531";"BTR";"0.413000"
"7814";"9765";"BTR";"0.372000"
"3908";"4882";"BTR";"0.282000"
"1954";"2441";"BTR";"0.244000"
"978";"1220";"BTR";"0.180000"
"490";"610";"BTR";"0.177000"
"246";"305";"BTR";"0.186000"
"124";"152";"BTR";"0.128000"
"62";"76";"BTR";"0.140000"
"32";"38";"BTR";"0.073000"
"16";"19";"BTR";"0.055000"
"8";"9";"BTR";"0.044000"
"4";"4";"BTR";"0.031000"
"2";"2";"BTR";"0.100000"
"0";"1";"BTR";"0.051000"
