"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTI";"1.312000"
"2000000";"2500000";"BTI";"1.491000"
"1000000";"1250000";"BTI";"0.824000"
"500000";"625000";"BTI";"0.640000"
"250000";"312500";"BTI";"1.263000"
"125000";"156250";"BTI";"0.565000"
"62500";"78125";"BTI";"0.898000"
"31250";"39062";"BTI";"0.340000"
"15626";"19531";"BTI";"0.399000"
"7814";"9765";"BTI";"0.249000"
"3908";"4882";"BTI";"0.296000"
"1954";"2441";"BTI";"0.234000"
"978";"1220";"BTI";"0.215000"
"490";"610";"BTI";"0.163000"
"246";"305";"BTI";"0.162000"
"124";"152";"BTI";"0.113000"
"62";"76";"BTI";"0.122000"
"32";"38";"BTI";"0.084000"
"16";"19";"BTI";"0.056000"
"8";"9";"BTI";"0.056000"
"4";"4";"BTI";"0.049000"
"2";"2";"BTI";"0.063000"
"0";"1";"BTI";"0.053000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTI";"1.482000"
"2000000";"2500000";"BTI";"0.724000"
"1000000";"1250000";"BTI";"0.908000"
"500000";"625000";"BTI";"0.561000"
"250000";"312500";"BTI";"1.198000"
"125000";"156250";"BTI";"0.458000"
"62500";"78125";"BTI";"0.396000"
"31250";"39062";"BTI";"0.252000"
"15626";"19531";"BTI";"0.336000"
"7814";"9765";"BTI";"0.330000"
"3908";"4882";"BTI";"0.359000"
"1954";"2441";"BTI";"0.270000"
"978";"1220";"BTI";"0.225000"
"490";"610";"BTI";"0.155000"
"246";"305";"BTI";"0.159000"
"124";"152";"BTI";"0.114000"
"62";"76";"BTI";"0.114000"
"32";"38";"BTI";"0.054000"
"16";"19";"BTI";"0.041000"
"8";"9";"BTI";"0.076000"
"4";"4";"BTI";"0.033000"
"2";"2";"BTI";"0.052000"
"0";"1";"BTI";"0.048000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTI";"1.496000"
"2000000";"2500000";"BTI";"0.906000"
"1000000";"1250000";"BTI";"0.925000"
"500000";"625000";"BTI";"0.522000"
"250000";"312500";"BTI";"0.474000"
"125000";"156250";"BTI";"0.828000"
"62500";"78125";"BTI";"0.477000"
"31250";"39062";"BTI";"1.026000"
"15626";"19531";"BTI";"0.364000"
"7814";"9765";"BTI";"0.457000"
"3908";"4882";"BTI";"0.310000"
"1954";"2441";"BTI";"0.204000"
"978";"1220";"BTI";"0.186000"
"490";"610";"BTI";"0.156000"
"246";"305";"BTI";"0.179000"
"124";"152";"BTI";"0.111000"
"62";"76";"BTI";"0.124000"
"32";"38";"BTI";"0.074000"
"16";"19";"BTI";"0.055000"
"8";"9";"BTI";"0.074000"
"4";"4";"BTI";"0.056000"
"2";"2";"BTI";"0.062000"
"0";"1";"BTI";"0.054000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTI";"1.402000"
"2000000";"2500000";"BTI";"0.898000"
"1000000";"1250000";"BTI";"0.866000"
"500000";"625000";"BTI";"0.709000"
"250000";"312500";"BTI";"0.496000"
"125000";"156250";"BTI";"0.490000"
"62500";"78125";"BTI";"0.355000"
"31250";"39062";"BTI";"0.465000"
"15626";"19531";"BTI";"0.353000"
"7814";"9765";"BTI";"0.234000"
"3908";"4882";"BTI";"0.303000"
"1954";"2441";"BTI";"0.197000"
"978";"1220";"BTI";"0.154000"
"490";"610";"BTI";"0.168000"
"246";"305";"BTI";"0.167000"
"124";"152";"BTI";"0.115000"
"62";"76";"BTI";"0.115000"
"32";"38";"BTI";"0.063000"
"16";"19";"BTI";"0.068000"
"8";"9";"BTI";"0.060000"
"4";"4";"BTI";"0.054000"
"2";"2";"BTI";"0.067000"
"0";"1";"BTI";"0.048000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BTI";"1.337000"
"2000000";"2500000";"BTI";"0.929000"
"1000000";"1250000";"BTI";"0.803000"
"500000";"625000";"BTI";"0.509000"
"250000";"312500";"BTI";"0.480000"
"125000";"156250";"BTI";"0.551000"
"62500";"78125";"BTI";"0.476000"
"31250";"39062";"BTI";"1.102000"
"15626";"19531";"BTI";"0.440000"
"7814";"9765";"BTI";"0.304000"
"3908";"4882";"BTI";"0.271000"
"1954";"2441";"BTI";"0.223000"
"978";"1220";"BTI";"0.244000"
"490";"610";"BTI";"0.155000"
"246";"305";"BTI";"0.180000"
"124";"152";"BTI";"0.112000"
"62";"76";"BTI";"0.149000"
"32";"38";"BTI";"0.064000"
"16";"19";"BTI";"0.056000"
"8";"9";"BTI";"0.058000"
"4";"4";"BTI";"0.033000"
"2";"2";"BTI";"0.054000"
"0";"1";"BTI";"0.054000"
