"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBR";"2.776000"
"1999999";"2500000";"BBR";"1.057000"
"999999";"1250000";"BBR";"0.636000"
"499999";"625000";"BBR";"0.820000"
"249999";"312500";"BBR";"0.560000"
"124999";"156250";"BBR";"1.109000"
"62499";"78125";"BBR";"0.512000"
"31249";"39062";"BBR";"0.426000"
"15625";"19531";"BBR";"0.287000"
"7813";"9765";"BBR";"0.268000"
"3907";"4882";"BBR";"0.271000"
"1953";"2441";"BBR";"0.249000"
"977";"1220";"BBR";"0.203000"
"489";"610";"BBR";"0.167000"
"245";"305";"BBR";"0.137000"
"123";"152";"BBR";"0.100000"
"61";"76";"BBR";"0.097000"
"31";"38";"BBR";"0.080000"
"15";"19";"BBR";"0.078000"
"7";"9";"BBR";"0.065000"
"3";"4";"BBR";"0.098000"
"1";"2";"BBR";"0.039000"
"1";"1";"BBR";"0.064000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBR";"1.780000"
"1999999";"2500000";"BBR";"0.895000"
"999999";"1250000";"BBR";"0.680000"
"499999";"625000";"BBR";"0.862000"
"249999";"312500";"BBR";"0.640000"
"124999";"156250";"BBR";"0.543000"
"62499";"78125";"BBR";"0.475000"
"31249";"39062";"BBR";"0.377000"
"15625";"19531";"BBR";"0.800000"
"7813";"9765";"BBR";"0.344000"
"3907";"4882";"BBR";"0.297000"
"1953";"2441";"BBR";"0.270000"
"977";"1220";"BBR";"0.253000"
"489";"610";"BBR";"0.224000"
"245";"305";"BBR";"0.218000"
"123";"152";"BBR";"0.317000"
"61";"76";"BBR";"0.162000"
"31";"38";"BBR";"0.102000"
"15";"19";"BBR";"0.097000"
"7";"9";"BBR";"0.083000"
"3";"4";"BBR";"0.100000"
"1";"2";"BBR";"0.051000"
"1";"1";"BBR";"0.083000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBR";"2.009000"
"1999999";"2500000";"BBR";"0.870000"
"999999";"1250000";"BBR";"0.603000"
"499999";"625000";"BBR";"0.598000"
"249999";"312500";"BBR";"0.512000"
"124999";"156250";"BBR";"0.473000"
"62499";"78125";"BBR";"0.384000"
"31249";"39062";"BBR";"0.454000"
"15625";"19531";"BBR";"0.270000"
"7813";"9765";"BBR";"0.270000"
"3907";"4882";"BBR";"0.280000"
"1953";"2441";"BBR";"0.226000"
"977";"1220";"BBR";"0.245000"
"489";"610";"BBR";"0.197000"
"245";"305";"BBR";"0.188000"
"123";"152";"BBR";"0.141000"
"61";"76";"BBR";"0.149000"
"31";"38";"BBR";"0.099000"
"15";"19";"BBR";"0.062000"
"7";"9";"BBR";"0.066000"
"3";"4";"BBR";"0.093000"
"1";"2";"BBR";"0.040000"
"1";"1";"BBR";"0.074000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBR";"1.732000"
"1999999";"2500000";"BBR";"0.855000"
"999999";"1250000";"BBR";"0.731000"
"499999";"625000";"BBR";"0.769000"
"249999";"312500";"BBR";"0.619000"
"124999";"156250";"BBR";"0.493000"
"62499";"78125";"BBR";"0.455000"
"31249";"39062";"BBR";"0.401000"
"15625";"19531";"BBR";"0.392000"
"7813";"9765";"BBR";"0.265000"
"3907";"4882";"BBR";"0.291000"
"1953";"2441";"BBR";"0.284000"
"977";"1220";"BBR";"0.232000"
"489";"610";"BBR";"0.164000"
"245";"305";"BBR";"0.200000"
"123";"152";"BBR";"0.155000"
"61";"76";"BBR";"0.152000"
"31";"38";"BBR";"0.104000"
"15";"19";"BBR";"0.062000"
"7";"9";"BBR";"0.068000"
"3";"4";"BBR";"0.089000"
"1";"2";"BBR";"0.040000"
"1";"1";"BBR";"0.073000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBR";"1.995000"
"1999999";"2500000";"BBR";"0.972000"
"999999";"1250000";"BBR";"0.672000"
"499999";"625000";"BBR";"0.656000"
"249999";"312500";"BBR";"0.606000"
"124999";"156250";"BBR";"0.497000"
"62499";"78125";"BBR";"0.416000"
"31249";"39062";"BBR";"0.338000"
"15625";"19531";"BBR";"0.276000"
"7813";"9765";"BBR";"0.253000"
"3907";"4882";"BBR";"0.258000"
"1953";"2441";"BBR";"0.242000"
"977";"1220";"BBR";"0.219000"
"489";"610";"BBR";"0.458000"
"245";"305";"BBR";"0.180000"
"123";"152";"BBR";"0.142000"
"61";"76";"BBR";"0.159000"
"31";"38";"BBR";"0.092000"
"15";"19";"BBR";"0.064000"
"7";"9";"BBR";"0.069000"
"3";"4";"BBR";"0.088000"
"1";"2";"BBR";"0.039000"
"1";"1";"BBR";"0.056000"
