"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSI";"16777.102000"
"1999999";"2500000";"BSI";"7178.234000"
"999999";"1250000";"BSI";"3512.741000"
"499999";"625000";"BSI";"1788.302000"
"249999";"312500";"BSI";"865.877000"
"124999";"156250";"BSI";"432.267000"
"62499";"78125";"BSI";"215.416000"
"31249";"39062";"BSI";"105.643000"
"15625";"19531";"BSI";"52.817000"
"7813";"9765";"BSI";"26.427000"
"3907";"4882";"BSI";"13.793000"
"1953";"2441";"BSI";"6.614000"
"977";"1220";"BSI";"3.325000"
"489";"610";"BSI";"1.679000"
"245";"305";"BSI";"0.859000"
"123";"152";"BSI";"0.449000"
"61";"76";"BSI";"0.240000"
"31";"38";"BSI";"0.139000"
"15";"19";"BSI";"0.086000"
"7";"9";"BSI";"0.061000"
"3";"4";"BSI";"0.043000"
"1";"2";"BSI";"0.046000"
"1";"1";"BSI";"0.047000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSI";"17320.537000"
"1999999";"2500000";"BSI";"7219.482000"
"999999";"1250000";"BSI";"4652.021000"
"499999";"625000";"BSI";"1930.448000"
"249999";"312500";"BSI";"935.348000"
"124999";"156250";"BSI";"522.837000"
"62499";"78125";"BSI";"246.531000"
"31249";"39062";"BSI";"123.553000"
"15625";"19531";"BSI";"61.932000"
"7813";"9765";"BSI";"29.649000"
"3907";"4882";"BSI";"15.078000"
"1953";"2441";"BSI";"7.404000"
"977";"1220";"BSI";"3.776000"
"489";"610";"BSI";"1.867000"
"245";"305";"BSI";"0.954000"
"123";"152";"BSI";"0.512000"
"61";"76";"BSI";"0.268000"
"31";"38";"BSI";"0.153000"
"15";"19";"BSI";"0.094000"
"7";"9";"BSI";"0.077000"
"3";"4";"BSI";"0.055000"
"1";"2";"BSI";"0.061000"
"1";"1";"BSI";"0.055000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSI";"17246.828000"
"1999999";"2500000";"BSI";"7110.676000"
"999999";"1250000";"BSI";"3701.926000"
"499999";"625000";"BSI";"1778.502000"
"249999";"312500";"BSI";"875.962000"
"124999";"156250";"BSI";"424.748000"
"62499";"78125";"BSI";"220.444000"
"31249";"39062";"BSI";"105.594000"
"15625";"19531";"BSI";"52.814000"
"7813";"9765";"BSI";"26.434000"
"3907";"4882";"BSI";"13.230000"
"1953";"2441";"BSI";"6.624000"
"977";"1220";"BSI";"3.313000"
"489";"610";"BSI";"1.679000"
"245";"305";"BSI";"0.857000"
"123";"152";"BSI";"0.447000"
"61";"76";"BSI";"0.242000"
"31";"38";"BSI";"0.149000"
"15";"19";"BSI";"0.086000"
"7";"9";"BSI";"0.070000"
"3";"4";"BSI";"0.052000"
"1";"2";"BSI";"0.051000"
"1";"1";"BSI";"0.047000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSI";"17355.147000"
"1999999";"2500000";"BSI";"7258.499000"
"999999";"1250000";"BSI";"3569.828000"
"499999";"625000";"BSI";"1756.945000"
"249999";"312500";"BSI";"853.357000"
"124999";"156250";"BSI";"423.903000"
"62499";"78125";"BSI";"218.992000"
"31249";"39062";"BSI";"108.171000"
"15625";"19531";"BSI";"52.813000"
"7813";"9765";"BSI";"26.415000"
"3907";"4882";"BSI";"13.233000"
"1953";"2441";"BSI";"6.619000"
"977";"1220";"BSI";"3.319000"
"489";"610";"BSI";"1.679000"
"245";"305";"BSI";"0.862000"
"123";"152";"BSI";"0.467000"
"61";"76";"BSI";"0.241000"
"31";"38";"BSI";"0.138000"
"15";"19";"BSI";"0.088000"
"7";"9";"BSI";"0.060000"
"3";"4";"BSI";"0.045000"
"1";"2";"BSI";"0.048000"
"1";"1";"BSI";"0.043000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BSI";"16683.997000"
"1999999";"2500000";"BSI";"7078.025000"
"999999";"1250000";"BSI";"3497.322000"
"499999";"625000";"BSI";"1764.740000"
"249999";"312500";"BSI";"865.517000"
"124999";"156250";"BSI";"432.586000"
"62499";"78125";"BSI";"216.016000"
"31249";"39062";"BSI";"110.393000"
"15625";"19531";"BSI";"52.826000"
"7813";"9765";"BSI";"27.612000"
"3907";"4882";"BSI";"13.235000"
"1953";"2441";"BSI";"6.616000"
"977";"1220";"BSI";"3.320000"
"489";"610";"BSI";"1.710000"
"245";"305";"BSI";"0.858000"
"123";"152";"BSI";"0.441000"
"61";"76";"BSI";"0.250000"
"31";"38";"BSI";"0.139000"
"15";"19";"BSI";"0.088000"
"7";"9";"BSI";"0.061000"
"3";"4";"BSI";"0.045000"
"1";"2";"BSI";"0.059000"
"1";"1";"BSI";"0.048000"
