"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBI";"1.730000"
"1999999";"2500000";"BBI";"0.888000"
"999999";"1250000";"BBI";"0.839000"
"499999";"625000";"BBI";"0.696000"
"249999";"312500";"BBI";"0.696000"
"124999";"156250";"BBI";"0.486000"
"62499";"78125";"BBI";"0.874000"
"31249";"39062";"BBI";"0.223000"
"15625";"19531";"BBI";"0.999000"
"7813";"9765";"BBI";"0.229000"
"3907";"4882";"BBI";"0.239000"
"1953";"2441";"BBI";"0.218000"
"977";"1220";"BBI";"0.158000"
"489";"610";"BBI";"0.157000"
"245";"305";"BBI";"0.373000"
"123";"152";"BBI";"0.113000"
"61";"76";"BBI";"0.108000"
"31";"38";"BBI";"0.078000"
"15";"19";"BBI";"0.069000"
"7";"9";"BBI";"0.067000"
"3";"4";"BBI";"0.064000"
"1";"2";"BBI";"0.037000"
"1";"1";"BBI";"0.062000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBI";"6.941000"
"1999999";"2500000";"BBI";"4.790000"
"999999";"1250000";"BBI";"3.764000"
"499999";"625000";"BBI";"2.679000"
"249999";"312500";"BBI";"5.188000"
"124999";"156250";"BBI";"2.012000"
"62499";"78125";"BBI";"3.036000"
"31249";"39062";"BBI";"2.830000"
"15625";"19531";"BBI";"1.999000"
"7813";"9765";"BBI";"2.915000"
"3907";"4882";"BBI";"1.021000"
"1953";"2441";"BBI";"1.229000"
"977";"1220";"BBI";"0.486000"
"489";"610";"BBI";"1.840000"
"245";"305";"BBI";"0.463000"
"123";"152";"BBI";"2.705000"
"61";"76";"BBI";"0.158000"
"31";"38";"BBI";"0.385000"
"15";"19";"BBI";"0.084000"
"7";"9";"BBI";"0.071000"
"3";"4";"BBI";"0.108000"
"1";"2";"BBI";"0.033000"
"1";"1";"BBI";"0.065000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBI";"1.747000"
"1999999";"2500000";"BBI";"0.845000"
"999999";"1250000";"BBI";"0.897000"
"499999";"625000";"BBI";"0.551000"
"249999";"312500";"BBI";"0.469000"
"124999";"156250";"BBI";"0.411000"
"62499";"78125";"BBI";"0.381000"
"31249";"39062";"BBI";"0.319000"
"15625";"19531";"BBI";"0.288000"
"7813";"9765";"BBI";"0.295000"
"3907";"4882";"BBI";"0.266000"
"1953";"2441";"BBI";"0.215000"
"977";"1220";"BBI";"0.143000"
"489";"610";"BBI";"0.159000"
"245";"305";"BBI";"0.148000"
"123";"152";"BBI";"0.114000"
"61";"76";"BBI";"0.115000"
"31";"38";"BBI";"0.071000"
"15";"19";"BBI";"0.055000"
"7";"9";"BBI";"0.061000"
"3";"4";"BBI";"0.079000"
"1";"2";"BBI";"0.035000"
"1";"1";"BBI";"0.051000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBI";"2.137000"
"1999999";"2500000";"BBI";"0.798000"
"999999";"1250000";"BBI";"0.776000"
"499999";"625000";"BBI";"0.565000"
"249999";"312500";"BBI";"0.464000"
"124999";"156250";"BBI";"0.611000"
"62499";"78125";"BBI";"0.359000"
"31249";"39062";"BBI";"0.510000"
"15625";"19531";"BBI";"0.312000"
"7813";"9765";"BBI";"0.236000"
"3907";"4882";"BBI";"0.269000"
"1953";"2441";"BBI";"0.231000"
"977";"1220";"BBI";"0.168000"
"489";"610";"BBI";"0.178000"
"245";"305";"BBI";"0.138000"
"123";"152";"BBI";"0.118000"
"61";"76";"BBI";"0.112000"
"31";"38";"BBI";"0.083000"
"15";"19";"BBI";"0.064000"
"7";"9";"BBI";"0.070000"
"3";"4";"BBI";"0.066000"
"1";"2";"BBI";"0.042000"
"1";"1";"BBI";"0.065000"
"Chave";"Qtd";"Busca";"Tempo"
"3999999";"5000000";"BBI";"7.985000"
"1999999";"2500000";"BBI";"3.687000"
"999999";"1250000";"BBI";"2.088000"
"499999";"625000";"BBI";"2.581000"
"249999";"312500";"BBI";"2.271000"
"124999";"156250";"BBI";"1.721000"
"62499";"78125";"BBI";"1.392000"
"31249";"39062";"BBI";"0.638000"
"15625";"19531";"BBI";"2.139000"
"7813";"9765";"BBI";"0.985000"
"3907";"4882";"BBI";"0.755000"
"1953";"2441";"BBI";"0.709000"
"977";"1220";"BBI";"0.892000"
"489";"610";"BBI";"0.193000"
"245";"305";"BBI";"0.489000"
"123";"152";"BBI";"0.387000"
"61";"76";"BBI";"0.859000"
"31";"38";"BBI";"0.592000"
"15";"19";"BBI";"0.129000"
"7";"9";"BBI";"0.076000"
"3";"4";"BBI";"1.018000"
"1";"2";"BBI";"0.041000"
"1";"1";"BBI";"0.069000"
