"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSR";"96946.087000"
"2000000";"2500000";"BSR";"33144.854000"
"1000000";"1250000";"BSR";"13278.212000"
"500000";"625000";"BSR";"6213.332000"
"250000";"312500";"BSR";"2557.875000"
"125000";"156250";"BSR";"842.290000"
"62500";"78125";"BSR";"335.217000"
"31250";"39062";"BSR";"175.483000"
"15626";"19531";"BSR";"73.400000"
"7814";"9765";"BSR";"34.085000"
"3908";"4882";"BSR";"16.165000"
"1954";"2441";"BSR";"7.813000"
"978";"1220";"BSR";"3.742000"
"490";"610";"BSR";"1.866000"
"246";"305";"BSR";"0.958000"
"124";"152";"BSR";"0.497000"
"62";"76";"BSR";"0.275000"
"32";"38";"BSR";"0.157000"
"16";"19";"BSR";"0.087000"
"8";"9";"BSR";"0.060000"
"4";"4";"BSR";"0.064000"
"2";"2";"BSR";"0.063000"
"0";"1";"BSR";"0.031000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSR";"76083.682000"
"2000000";"2500000";"BSR";"30581.781000"
"1000000";"1250000";"BSR";"13149.941000"
"500000";"625000";"BSR";"5517.793000"
"250000";"312500";"BSR";"2572.598000"
"125000";"156250";"BSR";"875.141000"
"62500";"78125";"BSR";"314.221000"
"31250";"39062";"BSR";"145.269000"
"15626";"19531";"BSR";"71.479000"
"7814";"9765";"BSR";"34.275000"
"3908";"4882";"BSR";"15.901000"
"1954";"2441";"BSR";"7.817000"
"978";"1220";"BSR";"3.750000"
"490";"610";"BSR";"1.862000"
"246";"305";"BSR";"0.955000"
"124";"152";"BSR";"0.496000"
"62";"76";"BSR";"0.284000"
"32";"38";"BSR";"0.194000"
"16";"19";"BSR";"0.094000"
"8";"9";"BSR";"0.062000"
"4";"4";"BSR";"0.063000"
"2";"2";"BSR";"0.048000"
"0";"1";"BSR";"0.039000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSR";"87940.312000"
"2000000";"2500000";"BSR";"28108.162000"
"1000000";"1250000";"BSR";"13598.328000"
"500000";"625000";"BSR";"5950.382000"
"250000";"312500";"BSR";"2352.967000"
"125000";"156250";"BSR";"883.272000"
"62500";"78125";"BSR";"346.105000"
"31250";"39062";"BSR";"160.677000"
"15626";"19531";"BSR";"79.096000"
"7814";"9765";"BSR";"37.405000"
"3908";"4882";"BSR";"17.756000"
"1954";"2441";"BSR";"8.896000"
"978";"1220";"BSR";"4.176000"
"490";"610";"BSR";"2.059000"
"246";"305";"BSR";"1.059000"
"124";"152";"BSR";"0.555000"
"62";"76";"BSR";"0.300000"
"32";"38";"BSR";"0.198000"
"16";"19";"BSR";"0.095000"
"8";"9";"BSR";"0.066000"
"4";"4";"BSR";"0.069000"
"2";"2";"BSR";"0.055000"
"0";"1";"BSR";"0.048000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSR";"78145.543000"
"2000000";"2500000";"BSR";"30229.195000"
"1000000";"1250000";"BSR";"13947.531000"
"500000";"625000";"BSR";"6028.123000"
"250000";"312500";"BSR";"2465.809000"
"125000";"156250";"BSR";"932.135000"
"62500";"78125";"BSR";"539.130000"
"31250";"39062";"BSR";"162.172000"
"15626";"19531";"BSR";"80.716000"
"7814";"9765";"BSR";"37.947000"
"3908";"4882";"BSR";"18.028000"
"1954";"2441";"BSR";"8.730000"
"978";"1220";"BSR";"4.182000"
"490";"610";"BSR";"2.070000"
"246";"305";"BSR";"1.055000"
"124";"152";"BSR";"0.550000"
"62";"76";"BSR";"0.309000"
"32";"38";"BSR";"0.186000"
"16";"19";"BSR";"0.113000"
"8";"9";"BSR";"0.065000"
"4";"4";"BSR";"0.069000"
"2";"2";"BSR";"0.061000"
"0";"1";"BSR";"0.040000"
"Chave";"Qtd";"Busca";"Tempo"
"4000000";"5000000";"BSR";"88272.355000"
"2000000";"2500000";"BSR";"27866.954000"
"1000000";"1250000";"BSR";"12748.282000"
"500000";"625000";"BSR";"6406.449000"
"250000";"312500";"BSR";"2527.284000"
"125000";"156250";"BSR";"834.289000"
"62500";"78125";"BSR";"336.435000"
"31250";"39062";"BSR";"146.983000"
"15626";"19531";"BSR";"71.693000"
"7814";"9765";"BSR";"33.585000"
"3908";"4882";"BSR";"16.316000"
"1954";"2441";"BSR";"7.797000"
"978";"1220";"BSR";"3.741000"
"490";"610";"BSR";"1.863000"
"246";"305";"BSR";"0.953000"
"124";"152";"BSR";"0.493000"
"62";"76";"BSR";"0.275000"
"32";"38";"BSR";"0.180000"
"16";"19";"BSR";"0.086000"
"8";"9";"BSR";"0.071000"
"4";"4";"BSR";"0.060000"
"2";"2";"BSR";"0.056000"
"0";"1";"BSR";"0.030000"
